Date,High,Low,Close,Volume,Name
9/17/2015,2725,2640,2640,7164,NABIL
9/22/2015,2601,2490,2510,6135,NABIL
9/23/2015,2710,2560,2600,4063,NABIL
9/24/2015,2610,2550,2575,2943,NABIL
9/28/2015,2524,2425,2491,7147,NABIL
9/29/2015,2550,2530,2540,1860,NABIL
9/30/2015,2580,2550,2560,3841,NABIL
10/1/2015,2579,2550,2550,4485,NABIL
10/4/2015,2600,2570,2570,3832,NABIL
10/5/2015,2519,2400,2440,8896,NABIL
10/6/2015,2415,2392,2395,5150,NABIL
10/7/2015,2390,2315,2350,4895,NABIL
10/8/2015,2440,2300,2440,8804,NABIL
10/11/2015,2480,2375,2375,5062,NABIL
10/14/2015,2398,2350,2375,1262,NABIL
10/15/2015,2360,2355,2360,645,NABIL
10/18/2015,2358,2350,2358,635,NABIL
10/19/2015,2430,2345,2400,1322,NABIL
10/25/2015,2356,2356,2356,200,NABIL
10/27/2015,2340,2280,2280,2207,NABIL
10/28/2015,2270,2190,2240,4705,NABIL
10/29/2015,2290,2242,2279,3741,NABIL
11/1/2015,2300,2250,2275,3800,NABIL
11/2/2015,2330,2290,2310,2382,NABIL
11/3/2015,2289,2266,2270,1031,NABIL
11/4/2015,2280,2270,2280,1000,NABIL
11/5/2015,2260,2250,2250,1347,NABIL
11/8/2015,2251,2225,2249,1418,NABIL
11/9/2015,2320,2270,2280,2009,NABIL
11/10/2015,2320,2300,2310,850,NABIL
11/15/2015,2305,2275,2305,911,NABIL
11/16/2015,2290,2275,2288,628,NABIL
11/18/2015,2315,2300,2309,1524,NABIL
11/19/2015,2300,2288,2288,1574,NABIL
11/22/2015,2255,2200,2205,2830,NABIL
11/23/2015,2210,2100,2210,1707,NABIL
11/24/2015,2210,2170,2180,3418,NABIL
11/25/2015,2160,2125,2130,1678,NABIL
11/26/2015,2130,2060,2100,4339,NABIL
11/29/2015,2100,2000,2020,7340,NABIL
11/30/2015,2090,2046,2090,3522,NABIL
12/1/2015,2220,2131,2200,2984,NABIL
12/2/2015,2250,2181,2248,6332,NABIL
12/3/2015,2300,2205,2300,9386,NABIL
12/6/2015,1840,1799,1819,2215,NABIL
12/7/2015,1950,1850,1895,3087,NABIL
12/8/2015,1900,1858,1900,670,NABIL
12/9/2015,1940,1910,1940,2083,NABIL
12/10/2015,1940,1900,1900,1769,NABIL
12/13/2015,1903,1881,1903,1240,NABIL
12/14/2015,1890,1880,1890,1024,NABIL
12/15/2015,1890,1860,1860,1870,NABIL
12/16/2015,1865,1850,1854,1084,NABIL
12/17/2015,1860,1810,1842,17060,NABIL
12/20/2015,1844,1815,1830,2620,NABIL
12/21/2015,1825,1800,1800,3696,NABIL
12/22/2015,1841,1800,1840,11125,NABIL
12/23/2015,1840,1800,1821,4272,NABIL
12/24/2015,1830,1810,1815,10147,NABIL
12/27/2015,1820,1800,1800,6169,NABIL
12/28/2015,1820,1800,1820,3102,NABIL
12/29/2015,1854,1820,1853,2077,NABIL
12/31/2015,1870,1855,1860,1657,NABIL
1/3/2016,1860,1825,1840,2053,NABIL
1/4/2016,1850,1800,1800,2496,NABIL
1/5/2016,1829,1798,1800,4394,NABIL
1/6/2016,1808,1795,1795,2708,NABIL
1/7/2016,1815,1800,1815,2329,NABIL
1/10/2016,1825,1810,1820,1164,NABIL
1/11/2016,1835,1820,1826,3689,NABIL
1/12/2016,1830,1820,1830,1925,NABIL
1/13/2016,1830,1814,1814,3603,NABIL
1/14/2016,1860,1820,1850,5613,NABIL
1/17/2016,1899,1870,1890,4290,NABIL
1/18/2016,1965,1920,1920,9726,NABIL
1/19/2016,1930,1880,1920,1608,NABIL
1/20/2016,1935,1915,1921,3643,NABIL
1/21/2016,1920,1905,1905,2078,NABIL
1/24/2016,1910,1882,1895,2193,NABIL
1/25/2016,1920,1900,1920,4535,NABIL
1/26/2016,1904,1888,1898,3551,NABIL
1/27/2016,1900,1884,1885,2929,NABIL
1/28/2016,1899,1880,1890,2050,NABIL
1/31/2016,1900,1880,1890,3302,NABIL
2/1/2016,1923,1892,1905,3476,NABIL
2/2/2016,1929,1890,1900,3778,NABIL
2/3/2016,1905,1894,1900,2036,NABIL
2/4/2016,1935,1905,1917,4192,NABIL
2/7/2016,1970,1930,1935,4515,NABIL
2/8/2016,1935,1915,1919,3886,NABIL
2/11/2016,1930,1900,1912,3387,NABIL
2/14/2016,1901,1890,1900,4307,NABIL
2/15/2016,1900,1875,1900,2053,NABIL
2/16/2016,1890,1880,1880,1449,NABIL
2/17/2016,1886,1878,1886,5273,NABIL
2/18/2016,1898,1887,1893,3228,NABIL
2/21/2016,1925,1893,1907,4217,NABIL
2/22/2016,1976,1900,1955,4212,NABIL
2/23/2016,1985,1940,1950,5681,NABIL
2/24/2016,1960,1915,1915,4195,NABIL
2/25/2016,1925,1877,1921,4285,NABIL
2/28/2016,1929,1920,1920,2725,NABIL
2/29/2016,1920,1900,1906,5612,NABIL
3/1/2016,1915,1900,1900,4458,NABIL
3/2/2016,1907,1900,1900,7900,NABIL
3/3/2016,1907,1891,1900,5331,NABIL
3/6/2016,1932,1909,1909,6376,NABIL
3/10/2016,1925,1890,1900,5309,NABIL
3/13/2016,1905,1895,1904,6881,NABIL
3/14/2016,1910,1895,1895,2691,NABIL
3/15/2016,1900,1880,1890,2344,NABIL
3/16/2016,1905,1885,1895,4862,NABIL
3/17/2016,1909,1887,1900,4783,NABIL
3/20/2016,1919,1900,1910,6955,NABIL
3/21/2016,1938,1910,1919,5128,NABIL
3/23/2016,1930,1918,1925,9561,NABIL
3/24/2016,1986,1930,1985,19150,NABIL
